path,candidate,M,N,K,q,sample_count,pass_count,fail_count,e2e_mean_us,e2e_p50_us,e2e_p05_us,e2e_p95_us,e2e_std_us,e2e_cv_percent,t_done_mean_us,release_first_mean_us,release_last_mean_us,gemm_interval_mean_us,gemm_tflops_mean,notes
COMM_ONLY,C1_RING_SIMPLE_CH4,512,256,1024,1,10,10,0,576.495400,574.207500,570.208000,586.479000,6.113771,1.060506,571.023700,565.552200,565.552200,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,128,2048,1,50,50,0,3837.852380,3836.104500,3824.931700,3857.063450,9.928092,0.258689,3832.335840,3826.835360,3826.835360,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,128,2048,2,50,50,0,3989.485060,3896.821500,3883.341550,3955.285750,438.550356,10.992656,3983.968620,1992.112340,3978.442500,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,128,2048,4,50,50,0,3989.419460,3979.025500,3973.332000,4005.298650,52.720779,1.321515,3983.904780,1000.048180,3978.393500,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,128,2048,8,50,50,0,4165.190740,4164.170000,4157.119450,4178.270000,6.046144,0.145159,4159.699900,530.130280,4154.221900,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,1,50,50,0,3904.565120,3847.624000,3836.393000,3873.391000,341.683597,8.750875,3899.051860,3893.532080,3893.532080,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,2,50,50,0,3945.756740,3894.420500,3889.513300,3902.533100,360.767717,9.143182,3940.256320,1998.364840,3934.749480,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,4,50,50,0,3990.903600,3989.930000,3984.703450,3997.613550,4.660441,0.116777,3985.410000,1005.524640,3979.893840,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,2048,2048,8,50,50,0,4174.225480,4172.806000,4168.319000,4189.181450,6.372557,0.152664,4168.692940,532.725480,4163.160420,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,512,2048,1,50,50,0,3836.582700,3835.785000,3824.873550,3850.642850,8.647636,0.225399,3831.063040,3825.549760,3825.549760,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,512,2048,2,50,50,0,3977.028200,3889.544500,3885.453550,3904.940450,426.538880,10.725066,3971.518260,1944.438340,3966.033700,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,512,2048,4,50,50,0,4032.515640,3984.167500,3979.438000,3996.949550,336.566875,8.346325,4026.993260,1000.856960,4021.470740,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,2048,512,2048,8,50,50,0,4188.066280,4170.806000,4163.129600,4283.103900,41.488111,0.990627,4182.553080,531.605420,4177.046240,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C2_RING_SIMPLE_CH8,512,256,1024,1,10,10,0,570.367900,570.447500,562.736550,579.799000,5.994641,1.051013,564.912100,559.472200,559.472200,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,128,128,128,1,5,5,0,58.204600,57.437000,53.501000,63.292000,4.821299,8.283365,52.669000,0.000000,0.000000,47.709400,0.176400,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,128,128,128,2,5,5,0,86.427000,84.315000,81.691000,92.507000,4.861473,5.624947,80.987400,0.000000,0.000000,75.676000,0.111600,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,128,2048,1,50,50,0,353.925840,349.100500,341.245000,397.042000,15.710704,4.438982,348.383820,0.000000,0.000000,340.083380,12.653160,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,128,2048,2,50,50,0,323.680980,323.022000,319.006000,329.045000,3.466374,1.070923,318.164440,0.000000,0.000000,309.844980,13.863260,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,128,2048,4,50,50,0,594.545320,594.363000,586.600450,601.997000,4.665682,0.784748,588.988260,0.000000,0.000000,580.652540,7.397280,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,128,2048,8,50,50,0,711.940880,713.720000,704.976000,717.807450,5.637827,0.791895,706.386040,0.000000,0.000000,697.432920,6.158700,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,1,50,50,0,2636.690060,2654.253000,2518.115100,2670.286550,46.928841,1.779839,2630.751040,0.000000,0.000000,2500.659400,27.488760,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,2,50,50,0,2632.299660,2632.414500,2448.696300,2660.415000,311.774163,11.844174,2626.386360,0.000000,0.000000,2500.083140,27.729400,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,4,50,50,0,2805.993340,2829.751500,2692.436100,2848.437700,54.226159,1.932512,2800.116240,0.000000,0.000000,2674.000940,25.708280,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,2048,2048,8,50,50,0,3554.018680,3559.240500,3500.878850,3586.437000,25.755535,0.724688,3548.348540,0.000000,0.000000,3430.531000,20.032860,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,512,2048,1,50,50,0,909.978260,908.510500,885.464000,946.514450,21.840161,2.400075,904.359260,0.000000,0.000000,875.208960,19.640480,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,512,2048,2,50,50,0,772.839940,771.156000,767.516450,785.691900,5.741296,0.742883,767.246680,0.000000,0.000000,738.473980,23.265200,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,512,2048,4,50,50,0,811.798200,804.867000,802.299000,831.882550,37.612493,4.633232,806.233500,0.000000,0.000000,777.289840,22.141040,raw global samples aggregated; synthetic Phase-1 shapes only
GEMM_ONLY,C0_DEFAULT,2048,512,2048,8,50,50,0,1716.573500,1649.909000,1640.716000,1752.069550,317.681401,18.506717,1711.041020,0.000000,0.000000,1682.892120,10.369960,raw global samples aggregated; synthetic Phase-1 shapes only
